date,open,high,low,close,volume,Name,y
03/06/2013,45.65,45.84,45.04,45.51,3677473,A,
04/06/2013,46.175,46.45,45.38,45.42,3364296,A,
05/06/2013,45.32,45.38,44.5,44.53,2495073,A,
06/06/2013,44.5,45.01,44.21,45.01,3781151,A,
07/06/2013,45.16,45.92,44.94,45.15,2781171,A,
10/06/2013,45.35,45.35,44.485,44.73,2730800,A,
11/06/2013,44.22,44.63,44,44.4,3914328,A,
12/06/2013,44.78,44.828,43.795,43.92,2730633,A,
13/06/2013,43.87,44.56,43.66,44.49,2594941,A,
14/06/2013,44.34,44.57,43.85,44,1677669,A,
17/06/2013,44.38,44.869,44.185,44.38,2000122,A,
18/06/2013,44.38,44.81,44.2701,44.8,2522376,A,
19/06/2013,44.74,44.8796,43.5,43.52,5805826,A,
20/06/2013,43.11,43.11,41.85,42.32,6307980,A,
21/06/2013,42.6,43.23,42.37,42.98,3656145,A,
24/06/2013,42.44,42.75,42.07,42.31,2871453,A,
25/06/2013,42.01,42.82,42.01,42.48,2939595,A,
26/06/2013,43.1,43.29,42.28,42.34,3693707,A,
27/06/2013,42.56,43.29,42.52,43.08,3447018,A,
28/06/2013,43,43.305,42.73,42.76,5556673,A,
02/12/2013,53.47,53.67,53.11,53.21,1459197,A,
03/12/2013,52.92,53.17,52.56,52.93,2478051,A,
04/12/2013,52.84,53.83,52.72,53.58,2415795,A,
05/12/2013,53.35,53.8,53.115,53.5,1810391,A,
06/12/2013,53.76,54.93,53.76,54.83,3053347,A,
09/12/2013,54.8,55.43,54.74,55.06,2118503,A,
10/12/2013,54.91,55.46,54.63,55.34,2326895,A,
11/12/2013,55.35,55.69,54.68,54.84,2349926,A,
12/12/2013,54.63,55.52,54.3,55.26,2714297,A,
13/12/2013,55.36,55.9,54.9,55.16,2022610,A,
16/12/2013,55.25,55.79,55.07,55.24,1685454,A,
17/12/2013,55.96,57.29,55.81,56.37,3209227,A,
18/12/2013,56.5,57.94,56.37,57.89,4136283,A,
19/12/2013,57.57,57.83,57.07,57.38,1893211,A,
20/12/2013,57.47,57.67,56.91,56.96,2954031,A,
23/12/2013,57.45,57.655,57.12,57.54,1578464,A,
24/12/2013,57.5,57.61,57.17,57.23,779696,A,
26/12/2013,57.24,57.71,57.24,57.46,714431,A,
27/12/2013,57.23,57.42,57.12,57.17,653055,A,
30/12/2013,57.05,57.46,56.92,57.32,1127980,A,
31/12/2013,57.45,57.55,57.08,57.19,941447,A,
02/06/2014,56.96,56.99,56.3,56.89,1274846,A,
03/06/2014,56.73,57.49,56.68,57.22,1842298,A,
04/06/2014,57.02,57.48,56.96,57.45,1145664,A,
05/06/2014,57.45,58.75,57.41,58.6,1833063,A,
06/06/2014,58.58,59.28,58.37,59.01,1285879,A,
09/06/2014,59,59.58,58.7,59.28,1188782,A,
10/06/2014,59.16,59.25,58.58,58.89,1267805,A,
11/06/2014,58.33,59.13,58.31,58.91,1410610,A,
12/06/2014,58.9,59,58.2,58.4,1677989,A,
13/06/2014,58.53,58.87,58.18,58.5,1054865,A,
16/06/2014,58.57,58.86,58.15,58.32,1174434,A,
17/06/2014,58.27,59.2,58.1901,58.87,1328510,A,
18/06/2014,58.86,59.32,58.53,59.27,1114749,A,
19/06/2014,59.2,59.54,58.15,58.62,3149546,A,
20/06/2014,57.84,59.055,57.84,58.77,2029378,A,
23/06/2014,58.71,58.86,57.97,58.11,1435625,A,
24/06/2014,58.03,58.49,57.58,57.65,1125825,A,
25/06/2014,57.61,58.1,57.41,57.97,1060501,A,
26/06/2014,57.99,58.06,57.4,57.82,1102367,A,
27/06/2014,57.52,58.14,57.175,57.5,1519046,A,
30/06/2014,57.5,57.76,57.18,57.44,1314906,A,
01/12/2014,42.69,42.73,41.58,41.59,4411159,A,
02/12/2014,41.6,42.1,41.55,41.98,2014436,A,
03/12/2014,41.98,42.37,41.82,42.23,2250275,A,
04/12/2014,42.15,42.68,42.02,42.27,1346823,A,
05/12/2014,42.23,42.49,42.08,42.3,1019549,A,
08/12/2014,42.23,42.51,41.415,41.51,1425753,A,
09/12/2014,40.99,41.43,40.98,41.4,1803210,A,
10/12/2014,41.36,41.36,40.31,40.34,2654911,A,
11/12/2014,40.5,41.18,40.49,40.62,1640864,A,
12/12/2014,40.2,40.62,39.71,39.72,2335765,A,
15/12/2014,40.07,40.17,38.65,38.68,4510349,A,
16/12/2014,38.3,39.48,38.1,38.47,3849394,A,
17/12/2014,38.34,39.99,38.09,39.76,3508188,A,
18/12/2014,40.48,40.8,40.11,40.7,3104066,A,
19/12/2014,40.9,41.43,40.86,41.38,3736336,A,
22/12/2014,41.38,41.88,41.38,41.88,1590221,A,
23/12/2014,41.98,42.01,41.36,41.37,1872341,A,
24/12/2014,41.42,41.525,40.96,41.13,1426901,A,
26/12/2014,41.34,41.57,41.29,41.38,588034,A,
29/12/2014,41.36,41.57,41.312,41.33,976423,A,
